id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
274,Meghalaya,Weight Gain,Lunch,"Local Fruit Bowl (Energy Packed, Weight Gain; Weight Gain; Lunch; Vegan)",128,1,28,0,5,Medium,High,High,,"sohiong, sohshang, seasonal fruits",Vegan,,Serve the seasonal fruit fresh without added sugar. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
275,Meghalaya,Weight Gain,Lunch,"Lungsiej (Double Portion, Weight Gain; Weight Gain; Lunch; Vegan)",77,3,9,1,3,Medium,Low,Medium,,"bamboo shoot, chili, spices",Vegan,,"Quick-pickle bamboo shoot with chili and spices, then serve as a side. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
276,Meghalaya,Weight Gain,Lunch,"Me.kin/Sobok Chatni (Nutty Finish, Weight Gain; Weight Gain; Lunch; Vegan)",141,2,17,4,5,Medium,Medium,Low,,"banana flower, herbs, chili",Vegan,,Pound banana flower with herbs and chili into a fresh chutney. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
277,Meghalaya,Weight Gain,Lunch,"Pu-sla (Full Bowl, Weight Gain; Weight Gain; Lunch; Vegan)",192,4,37,1,4,High,Medium,High,,"rice flour, leaf wrap, water",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
278,Meghalaya,Weight Gain,Lunch,"Pukhlein (With Sesame, Weight Gain; Weight Gain; Lunch; Vegan)",302,5,45,9,2,High,Medium,High,,"rice flour, jaggery, oil",Vegan,,Prepare the rice cake with a light batter and shallow-fry briefly. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,"Use this as part of a calorie-surplus plan and stay active. This is richer than steamed rice-cake dishes, so keep the serving smaller."
279,Meghalaya,Weight Gain,Lunch,"Pumaloi (With Jaggery, Weight Gain; Weight Gain; Lunch; Vegan)",200,4,39,1,4,Low,Medium,Medium,,"ground rice, water, steam",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
280,Meghalaya,Weight Gain,Lunch,"Pusaw (Hearty Serve, Weight Gain; Weight Gain; Lunch; Vegan)",182,4,35,1,4,High,Medium,Medium,,"unpolished rice, water",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
281,Meghalaya,Weight Gain,Lunch,"Putharo (Rich Portion, Weight Gain; Weight Gain; Lunch; Vegan)",208,5,42,2,5,Medium,Medium,Medium,,"rice flour, water, black sesame",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
282,Meghalaya,Weight Gain,Lunch,"Red Rice with Bamboo Shoot and Herbs (Warm Plate, Weight Gain; Weight Gain; Lunch; Vegan)",251,5,45,3,5,Low,Medium,Medium,,"red rice, bamboo shoot, local herbs",Vegan,,Cook red rice with tender bamboo shoot and local herbs using very little oil. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
283,Meghalaya,Weight Gain,Lunch,"Roasted Maize (With Curd, Weight Gain; Weight Gain; Lunch; Vegan)",174,4,37,1,4,High,Low,Medium,,local maize,Vegan,,Dry-roast the maize over fire and season lightly. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
284,Meghalaya,Weight Gain,Lunch,"Shaw Saw (House Style, Weight Gain; Weight Gain; Lunch; Vegan)",5,0,3,0,0,Low,Low,High,,"red tea leaves, water",Vegan,,Brew the red tea without sugar and serve it hot. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
285,Meghalaya,Weight Gain,Lunch,"Shillong Aloo Muri/Chana (Traditional Rich, Weight Gain; Weight Gain; Lunch; Vegan)",225,6,35,4,6,Medium,High,Low,,"boiled potato, puffed rice, chana, onion, chili, lemon",Vegan,,"Toss boiled potato or chana with puffed rice, onion, chili, and lemon. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
286,Meghalaya,Weight Gain,Lunch,"Sohphlang with Perilla Seed Dip (Calorie Dense, Weight Gain; Weight Gain; Lunch; Vegan)",156,4,21,6,6,High,High,Medium,,"sohphlang root, perilla seeds, chili",Vegan,,Serve the root raw or lightly boiled with crushed perilla seeds. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
287,Meghalaya,Weight Gain,Lunch,"Steamed Wild Greens with Sesame (Soft and Filling, Weight Gain; Weight Gain; Lunch; Vegan)",144,6,12,7,6,High,Medium,Medium,sesame,"wild greens, sesame seeds, herbs",Vegan,,Steam or lightly sauté the greens with sesame seeds and herbs. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
288,Meghalaya,Weight Gain,Lunch,"Tungrymbai (Extra Rice, Weight Gain; Weight Gain; Lunch; Vegan)",230,10,17,9,5,Medium,Medium,Low,"sesame, soy","fermented soybeans, black sesame, chili, herbs",Vegan,,"Cook fermented soybeans with black sesame, chili, and local herbs. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
289,Meghalaya,Weight Gain,Snack,"Ja Shulia (Light Fry, Weight Gain; Weight Gain; Snack; Vegetarian)",170,4,34,2,2,Medium,High,High,,"sticky rice, water",Vegetarian,,Steam the sticky rice until soft and fluff it lightly. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
290,Meghalaya,Weight Gain,Snack,"Local Fruit Bowl (Energy Packed, Weight Gain; Weight Gain; Snack; Vegetarian)",97,1,20,0,5,Low,Low,High,,"sohiong, sohshang, seasonal fruits",Vegetarian,,Serve the seasonal fruit fresh without added sugar. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
291,Meghalaya,Weight Gain,Snack,"Lungsiej (Double Portion, Weight Gain; Weight Gain; Snack; Vegetarian)",60,3,7,2,3,Medium,High,Low,,"bamboo shoot, chili, spices",Vegetarian,,"Quick-pickle bamboo shoot with chili and spices, then serve as a side. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
292,Meghalaya,Weight Gain,Snack,"Me.kin/Sobok Chatni (Nutty Finish, Weight Gain; Weight Gain; Snack; Vegetarian)",106,2,12,5,5,Low,High,Medium,,"banana flower, herbs, chili",Vegetarian,,Pound banana flower with herbs and chili into a fresh chutney. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
293,Meghalaya,Weight Gain,Snack,"Pu-sla (Full Bowl, Weight Gain; Weight Gain; Snack; Vegetarian)",143,4,26,2,4,High,Medium,High,,"rice flour, leaf wrap, water",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
294,Meghalaya,Weight Gain,Snack,"Pukhlein (With Sesame, Weight Gain; Weight Gain; Snack; Vegetarian)",221,5,32,10,2,High,Medium,Low,,"rice flour, jaggery, oil",Vegetarian,,Prepare the rice cake with a light batter and shallow-fry briefly. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,"Use this as part of a calorie-surplus plan and stay active. This is richer than steamed rice-cake dishes, so keep the serving smaller."
295,Meghalaya,Weight Gain,Snack,"Pumaloi (With Jaggery, Weight Gain; Weight Gain; Snack; Vegetarian)",147,4,28,2,4,Low,Medium,High,,"ground rice, water, steam",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
296,Meghalaya,Weight Gain,Snack,"Pusaw (Hearty Serve, Weight Gain; Weight Gain; Snack; Vegetarian)",133,4,25,2,4,Medium,Low,High,,"unpolished rice, water",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
297,Meghalaya,Weight Gain,Snack,"Putharo (Rich Portion, Weight Gain; Weight Gain; Snack; Vegetarian)",152,5,31,3,5,Low,Low,Medium,,"rice flour, water, black sesame",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
298,Meghalaya,Weight Gain,Snack,"Red Rice with Bamboo Shoot and Herbs (Warm Plate, Weight Gain; Weight Gain; Snack; Vegetarian)",184,5,32,4,5,Low,Low,Low,,"red rice, bamboo shoot, local herbs",Vegetarian,,Cook red rice with tender bamboo shoot and local herbs using very little oil. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
299,Meghalaya,Weight Gain,Snack,"Roasted Maize (With Curd, Weight Gain; Weight Gain; Snack; Vegetarian)",129,4,27,2,4,High,Low,High,,local maize,Vegetarian,,Dry-roast the maize over fire and season lightly. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
300,Meghalaya,Weight Gain,Snack,"Shaw Saw (House Style, Weight Gain; Weight Gain; Snack; Vegetarian)",5,0,3,0,0,Medium,Medium,High,,"red tea leaves, water",Vegetarian,,Brew the red tea without sugar and serve it hot. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
301,Meghalaya,Weight Gain,Snack,"Shillong Aloo Muri/Chana (Traditional Rich, Weight Gain; Weight Gain; Snack; Vegetarian)",166,6,25,5,6,Medium,High,Medium,,"boiled potato, puffed rice, chana, onion, chili, lemon",Vegetarian,,"Toss boiled potato or chana with puffed rice, onion, chili, and lemon. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
302,Meghalaya,Weight Gain,Snack,"Sohphlang with Perilla Seed Dip (Calorie Dense, Weight Gain; Weight Gain; Snack; Vegetarian)",115,4,15,7,6,Low,High,Low,,"sohphlang root, perilla seeds, chili",Vegetarian,,Serve the root raw or lightly boiled with crushed perilla seeds. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
303,Meghalaya,Weight Gain,Snack,"Steamed Wild Greens with Sesame (Soft and Filling, Weight Gain; Weight Gain; Snack; Vegetarian)",106,6,8,8,6,High,Low,High,sesame,"wild greens, sesame seeds, herbs",Vegetarian,,Steam or lightly sauté the greens with sesame seeds and herbs. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
304,Meghalaya,Weight Gain,Snack,"Tungrymbai (Extra Rice, Weight Gain; Weight Gain; Snack; Vegetarian)",171,10,13,10,5,High,Low,High,"sesame, soy","fermented soybeans, black sesame, chili, herbs",Vegetarian,,"Cook fermented soybeans with black sesame, chili, and local herbs. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
305,Meghalaya,Weight Gain,Snack,"Bamboo Tube Fish (House Style, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",236,29,7,13,2,Low,High,Medium,fish,"fish, bamboo tube, herbs, local spices",Non-Vegetarian,fish,Cook fish in bamboo with herbs and only the needed broth. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
306,Meghalaya,Weight Gain,Snack,"Do'o Kappa (With Sesame, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",278,32,12,12,2,High,High,High,,"chicken, natural potash, coriander, chili",Non-Vegetarian,chicken,"Cook chicken with natural potash, coriander, and chili. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
307,Meghalaya,Weight Gain,Snack,"Doh Sniang Nei-Iong (With Curd, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",324,25,9,27,2,Medium,High,High,sesame,"pork, sesame seeds, herbs",Non-Vegetarian,pork,Cook pork with sesame seeds and local herbs. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
308,Meghalaya,Weight Gain,Snack,"Dohjem (Hearty Serve, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",291,24,10,22,2,High,Low,Low,,"minced pork, black sesame, spices",Non-Vegetarian,pork,Cook minced pork with sesame and spices in a light gravy. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.,Strength training or resistance exercises,"Use this as part of a calorie-surplus plan and stay active. This is richer than steamed rice-cake dishes, so keep the serving smaller."
309,Meghalaya,Weight Gain,Snack,"Dohkhlieh (With Jaggery, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",250,27,7,18,2,High,Medium,Low,,"boiled pork, onion, green chili, herbs",Non-Vegetarian,pork,"Boil the pork and toss it with onion, green chili, and herbs. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
310,Meghalaya,Weight Gain,Snack,"Dohneiiong (Full Bowl, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",329,25,8,24,2,High,High,Medium,,"meat, black sesame seeds, herbs",Non-Vegetarian,pork,Simmer the meat with black sesame and minimal oil. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.,Strength training or resistance exercises,"Use this as part of a calorie-surplus plan and stay active. This is richer than steamed rice-cake dishes, so keep the serving smaller."
311,Meghalaya,Weight Gain,Snack,"Ja Tyndong (Light Fry, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",236,19,27,10,4,High,Medium,Low,,"rice, fish or meat, vegetables, bamboo tube",Non-Vegetarian,fish,"Place rice, fish or meat, and vegetables in bamboo tubes and roast. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
312,Meghalaya,Weight Gain,Snack,"Jadoh (Rich Portion, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",365,24,46,16,4,Low,High,Low,,"red rice, local meat, herbs",Non-Vegetarian,pork,Cook red rice with the meat and just enough seasoning for aroma. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.,Strength training or resistance exercises,"Use this as part of a calorie-surplus plan and stay active. This is richer than steamed rice-cake dishes, so keep the serving smaller."
313,Meghalaya,Weight Gain,Snack,"Kharang (Calorie Dense, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",181,27,3,10,1,Medium,Medium,Low,fish,"smoked fish, chili, herbs",Non-Vegetarian,fish,"Use smoked fish in a light curry, chutney, or salad. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active. Watch the sodium level if the fish component is salted or smoked.
314,Meghalaya,Weight Gain,Snack,"Ktung Bain Nei-Iong (Nutty Finish, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",219,23,5,12,2,Low,High,High,"sesame, fish","dry fish, black sesame, herbs",Non-Vegetarian,fish,Simmer dry fish with black sesame and mild spices. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active. Watch the sodium level if the fish component is salted or smoked.
315,Meghalaya,Weight Gain,Snack,"Nakham Bitchi (Extra Rice, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",228,25,7,12,1,High,Low,Low,fish,"dry fish, chili, garlic, herbs",Non-Vegetarian,fish,"Prepare dry fish gravy with garlic, chili, and local herbs. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active. Watch the sodium level if the fish component is salted or smoked.
316,Meghalaya,Weight Gain,Snack,"Phan and Tungtap (Soft and Filling, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",153,11,19,8,3,Medium,High,Medium,fish,"boiled potato, fermented dry fish, chili, onion",Non-Vegetarian,fish,Serve boiled potato with fermented dry fish chutney in a small portion. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active. Watch the sodium level if the fish component is salted or smoked.
317,Meghalaya,Weight Gain,Snack,"Putharo with Dohjem (Warm Plate, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",389,25,41,17,3,High,Medium,High,,"rice flour, pork curry, black sesame",Non-Vegetarian,pork,Pair the rice cake with pork curry and black sesame in a balanced serving. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
318,Meghalaya,Weight Gain,Snack,"Shillong Smoked Meat (Energy Packed, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",228,25,3,15,2,Low,Medium,High,,"smoked meat, onion, herbs",Non-Vegetarian,smoked meat,Serve smoked meat in small slices with onion and herbs. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.,Strength training or resistance exercises,"Use this as part of a calorie-surplus plan and stay active. This is richer than steamed rice-cake dishes, so keep the serving smaller."
319,Meghalaya,Weight Gain,Snack,"Wak Pura (Traditional Rich, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",333,27,7,29,3,Low,Low,Medium,,"pork, potash, herbs",Non-Vegetarian,pork,Cook pork with potash until tender and keep the fat controlled. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.,Strength training or resistance exercises,"Use this as part of a calorie-surplus plan and stay active. This is richer than steamed rice-cake dishes, so keep the serving smaller."
320,Meghalaya,Weight Gain,Snack,"Wak Tangsek Pura (Double Portion, Weight Gain; Weight Gain; Snack; Non-Vegetarian)",265,26,8,20,3,High,High,Medium,,"pork, green vegetables, powdered rice",Non-Vegetarian,pork,Cook pork with green vegetables and powdered rice. Keep the serving generous and calorie-dense. This version uses a traditional meat or fish component from Meghalaya cuisine.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
321,Meghalaya,Weight Gain,Snack,"Ja Shulia (Light Fry, Weight Gain; Weight Gain; Snack; Vegan)",165,4,34,1,2,Low,High,High,,"sticky rice, water",Vegan,,Steam the sticky rice until soft and fluff it lightly. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
322,Meghalaya,Weight Gain,Snack,"Local Fruit Bowl (Energy Packed, Weight Gain; Weight Gain; Snack; Vegan)",92,1,20,0,5,Low,High,Medium,,"sohiong, sohshang, seasonal fruits",Vegan,,Serve the seasonal fruit fresh without added sugar. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
323,Meghalaya,Weight Gain,Snack,"Lungsiej (Double Portion, Weight Gain; Weight Gain; Snack; Vegan)",55,3,7,1,3,Medium,Medium,Low,,"bamboo shoot, chili, spices",Vegan,,"Quick-pickle bamboo shoot with chili and spices, then serve as a side. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
324,Meghalaya,Weight Gain,Snack,"Me.kin/Sobok Chatni (Nutty Finish, Weight Gain; Weight Gain; Snack; Vegan)",101,2,12,4,5,Low,High,Low,,"banana flower, herbs, chili",Vegan,,Pound banana flower with herbs and chili into a fresh chutney. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
325,Meghalaya,Weight Gain,Snack,"Pu-sla (Full Bowl, Weight Gain; Weight Gain; Snack; Vegan)",138,4,26,1,4,Medium,Medium,High,,"rice flour, leaf wrap, water",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
326,Meghalaya,Weight Gain,Snack,"Pukhlein (With Sesame, Weight Gain; Weight Gain; Snack; Vegan)",216,5,32,9,2,High,High,Low,,"rice flour, jaggery, oil",Vegan,,Prepare the rice cake with a light batter and shallow-fry briefly. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,"Use this as part of a calorie-surplus plan and stay active. This is richer than steamed rice-cake dishes, so keep the serving smaller."
327,Meghalaya,Weight Gain,Snack,"Pumaloi (With Jaggery, Weight Gain; Weight Gain; Snack; Vegan)",142,4,28,1,4,Medium,Medium,High,,"ground rice, water, steam",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
328,Meghalaya,Weight Gain,Snack,"Pusaw (Hearty Serve, Weight Gain; Weight Gain; Snack; Vegan)",128,4,25,1,4,Low,Low,High,,"unpolished rice, water",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
329,Meghalaya,Weight Gain,Snack,"Putharo (Rich Portion, Weight Gain; Weight Gain; Snack; Vegan)",147,5,31,2,5,Medium,Medium,Medium,,"rice flour, water, black sesame",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
330,Meghalaya,Weight Gain,Snack,"Red Rice with Bamboo Shoot and Herbs (Warm Plate, Weight Gain; Weight Gain; Snack; Vegan)",179,5,32,3,5,Low,Low,High,,"red rice, bamboo shoot, local herbs",Vegan,,Cook red rice with tender bamboo shoot and local herbs using very little oil. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
331,Meghalaya,Weight Gain,Snack,"Roasted Maize (With Curd, Weight Gain; Weight Gain; Snack; Vegan)",124,4,27,1,4,Low,High,Medium,,local maize,Vegan,,Dry-roast the maize over fire and season lightly. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
332,Meghalaya,Weight Gain,Snack,"Shaw Saw (House Style, Weight Gain; Weight Gain; Snack; Vegan)",5,0,3,0,0,Low,High,Low,,"red tea leaves, water",Vegan,,Brew the red tea without sugar and serve it hot. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
333,Meghalaya,Weight Gain,Snack,"Shillong Aloo Muri/Chana (Traditional Rich, Weight Gain; Weight Gain; Snack; Vegan)",161,6,25,4,6,Medium,Low,Medium,,"boiled potato, puffed rice, chana, onion, chili, lemon",Vegan,,"Toss boiled potato or chana with puffed rice, onion, chili, and lemon. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
334,Meghalaya,Weight Gain,Snack,"Sohphlang with Perilla Seed Dip (Calorie Dense, Weight Gain; Weight Gain; Snack; Vegan)",110,4,15,6,6,Medium,Medium,Medium,,"sohphlang root, perilla seeds, chili",Vegan,,Serve the root raw or lightly boiled with crushed perilla seeds. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
335,Meghalaya,Weight Gain,Snack,"Steamed Wild Greens with Sesame (Soft and Filling, Weight Gain; Weight Gain; Snack; Vegan)",101,6,8,7,6,Medium,High,Low,sesame,"wild greens, sesame seeds, herbs",Vegan,,Steam or lightly sauté the greens with sesame seeds and herbs. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
336,Meghalaya,Weight Gain,Snack,"Tungrymbai (Extra Rice, Weight Gain; Weight Gain; Snack; Vegan)",166,10,13,9,5,Low,High,Low,"sesame, soy","fermented soybeans, black sesame, chili, herbs",Vegan,,"Cook fermented soybeans with black sesame, chili, and local herbs. Keep the serving generous and calorie-dense. This version stays plant-based with no dairy or eggs.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
337,Meghalaya,Weight Gain,Dinner,"Ja Shulia (Light Fry, Weight Gain; Weight Gain; Dinner; Vegetarian)",243,4,48,2,2,Medium,High,High,,"sticky rice, water",Vegetarian,,Steam the sticky rice until soft and fluff it lightly. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
338,Meghalaya,Weight Gain,Dinner,"Local Fruit Bowl (Energy Packed, Weight Gain; Weight Gain; Dinner; Vegetarian)",136,1,29,0,5,High,Medium,Medium,,"sohiong, sohshang, seasonal fruits",Vegetarian,,Serve the seasonal fruit fresh without added sugar. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.,Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
339,Meghalaya,Weight Gain,Dinner,"Lungsiej (Double Portion, Weight Gain; Weight Gain; Dinner; Vegetarian)",83,3,10,2,3,Medium,Low,Low,,"bamboo shoot, chili, spices",Vegetarian,,"Quick-pickle bamboo shoot with chili and spices, then serve as a side. Keep the serving generous and calorie-dense. This version stays vegetarian and uses local plant-based ingredients.",Strength training or resistance exercises,Use this as part of a calorie-surplus plan and stay active.
